p,L,pf,SE,conv
0.48,20,0.4975,0.017677448557413482,0.3125
0.4821052631578947,20,0.52375,0.01765771564713284,0.295
0.4842105263157895,20,0.5675,0.017515841044608734,0.31125
0.4863157894736842,20,0.57125,0.01749726541134357,0.31375
0.4884210526315789,20,0.59375,0.017364149039760055,0.3375
0.4905263157894737,20,0.57125,0.01749726541134357,0.325
0.4926315789473684,20,0.61,0.017244564360980534,0.31125
0.49473684210526314,20,0.63625,0.017008671960943925,0.32375
0.49684210526315786,20,0.67125,0.01660848568879776,0.32375
0.49894736842105264,20,0.6525,0.01683537013255129,0.32875
0.5010526315789474,20,0.66875,0.016640441606970653,0.315
0.5031578947368421,20,0.7075,0.016083522235505503,0.32625
0.5052631578947369,20,0.69875,0.016221067994278304,0.33625
0.5073684210526316,20,0.6975,0.016240141240149362,0.30375
0.5094736842105263,20,0.72875,0.015719153821850587,0.3325
0.511578947368421,20,0.74125,0.015483799497377897,0.3075
0.5136842105263157,20,0.75625,0.015179588989000988,0.305
0.5157894736842106,20,0.79,0.014400520823914667,0.345
0.5178947368421053,20,0.81375,0.01376412626631273,0.3125
0.52,20,0.77875,0.014675593578285,0.2775
0.48,40,0.3775,0.01713890858543799,0.27
0.4821052631578947,40,0.42375,0.017470902148286446,0.295
0.4842105263157895,40,0.47,0.017645821035021294,0.305
0.4863157894736842,40,0.48875,0.017673194303096426,0.29625
0.4884210526315789,40,0.53625,0.017631149193260205,0.3325
0.4905263157894737,40,0.5425,0.01761369318172654,0.3275
0.4926315789473684,40,0.57875,0.017457034309269145,0.32
0.49473684210526314,40,0.61875,0.017171867891263314,0.35125
0.49684210526315786,40,0.62875,0.01708154843317783,0.34
0.49894736842105264,40,0.61125,0.017234537907208303,0.31875
0.5010526315789474,40,0.67625,0.01654297197830547,0.3375
0.5031578947368421,40,0.69375,0.01629650796566553,0.32375
0.5052631578947369,40,0.73125,0.015673362653719207,0.34375
0.5073684210526316,40,0.7725,0.014821595308872795,0.33625
0.5094736842105263,40,0.7675,0.014935015483754947,0.2925
0.511578947368421,40,0.83375,0.01316296592242797,0.34625
0.5136842105263157,40,0.83375,0.01316296592242797,0.3025
0.5157894736842106,40,0.835,0.013123214164220595,0.2825
0.5178947368421053,40,0.88875,0.011117184754918843,0.28
0.52,40,0.87375,0.01174260072875681,0.27375
0.48,60,0.33125,0.01664044160697065,0.25
0.4821052631578947,60,0.355,0.016918000768412322,0.2625
0.4842105263157895,60,0.3675,0.017045664771430886,0.26
0.4863157894736842,60,0.44375,0.017565446816833325,0.3175
0.4884210526315789,60,0.46625,0.017637351611707465,0.28625
0.4905263157894737,60,0.48875,0.017673194303096426,0.305
0.4926315789473684,60,0.5775,0.0174640255239163,0.3475
0.49473684210526314,60,0.5825,0.017435371733920672,0.3275
0.49684210526315786,60,0.61,0.017244564360980534,0.33875
0.49894736842105264,60,0.68125,0.0164753011163681,0.34625
0.5010526315789474,60,0.695,0.01627786073168093,0.36125
0.5031578947368421,60,0.73375,0.015626937379889894,0.3725
0.5052631578947369,60,0.7725,0.014821595308872795,0.32125
0.5073684210526316,60,0.7875,0.014463045581757669,0.335
0.5094736842105263,60,0.83625,0.013083192342658574,0.3375
0.511578947368421,60,0.84625,0.012752986782514911,0.3025
0.5136842105263157,60,0.84875,0.012667548968723191,0.28125
0.5157894736842106,60,0.89625,0.01078111412957863,0.245
0.5178947368421053,60,0.9125,0.009990229601966114,0.245
0.52,60,0.9225,0.009453421999466648,0.24125
0.48,80,0.22375,0.01473456554754839,0.1975
0.4821052631578947,80,0.28625,0.015980884577363044,0.21625
0.4842105263157895,80,0.34125,0.01676299635730438,0.25875
0.4863157894736842,80,0.37625,0.017127679991026223,0.275
0.4884210526315789,80,0.38625,0.017214127101744078,0.26625
0.4905263157894737,80,0.4575,0.01761369318172654,0.3075
0.4926315789473684,80,0.53625,0.017631149193260205,0.3525
0.49473684210526314,80,0.58125,0.017442707555738013,0.35625
0.49684210526315786,80,0.635,0.01702112657846125,0.37
0.49894736842105264,80,0.64125,0.016957610293758963,0.3425
0.5010526315789474,80,0.70125,0.01618249198593962,0.3775
0.5031578947368421,80,0.73,0.01569633715234226,0.36
0.5052631578947369,80,0.77625,0.01473456554754839,0.31125
0.5073684210526316,80,0.8475,0.012710416495929628,0.36125
0.5094736842105263,80,0.84625,0.012752986782514911,0.32125
0.511578947368421,80,0.88,0.011489125293076058,0.31625
0.5136842105263157,80,0.91,0.01011805317242403,0.27
0.5157894736842106,80,0.9275,0.009168134352200562,0.23625
0.5178947368421053,80,0.92875,0.009094877507421419,0.19375
0.52,80,0.94625,0.007973466741323999,0.17625
